date,daily_revenue,rolling_7,rolling_30,month,dayofweek
2018-01-02,25315.0,14681.74857142857,22524.14733333333,2018-01,1
2018-01-03,31886.72,16708.365714285716,22008.754,2018-01,2
2018-01-04,34839.44,19537.215714285714,22048.989666666665,2018-01,3
2018-01-05,27720.39,21205.454285714284,21666.378,2018-01,4
2018-01-06,27609.67,23286.457142857143,21651.507666666665,2018-01,5
2018-01-07,29433.01,26250.34857142857,21637.692666666662,2018-01,6
2018-01-08,38714.4,30788.375714285714,22260.604666666666,2018-01,0
2018-01-09,30248.91,31493.219999999998,22445.708666666666,2018-01,1
2018-01-10,38479.53,32435.049999999996,22595.346666666668,2018-01,2
2018-01-11,40056.96,33180.409999999996,22814.955,2018-01,3
2018-01-12,30988.94,33647.345714285715,22861.210333333336,2018-01,4
2018-01-13,28091.91,33716.23714285714,22954.733,2018-01,5
2018-01-14,30962.53,33934.74,23074.07733333333,2018-01,6
2018-01-15,38330.3,33879.86857142857,23675.211333333336,2018-01,0
2018-01-16,44237.17,35878.19142857143,24506.036666666667,2018-01,1
2018-01-17,36089.22,35536.718571428566,24736.940333333332,2018-01,2
2018-01-18,27774.77,33782.12,24975.566333333332,2018-01,3
2018-01-19,29954.78,33634.38285714285,25042.108,2018-01,4
2018-01-20,22381.68,32818.635714285716,25169.090000000004,2018-01,5
2018-01-21,23829.83,31799.678571428572,25465.574333333334,2018-01,6
2018-01-22,37137.64,31629.29857142857,26274.327333333335,2018-01,0
2018-01-23,34746.17,30273.441428571423,27240.566,2018-01,1
2018-01-24,31700.17,29646.434285714287,27951.193666666666,2018-01,2
2018-01-25,29634.42,29912.09857142857,28254.02666666667,2018-01,3
2018-01-26,33995.0,30489.272857142852,28797.18,2018-01,4
2018-01-27,22031.08,30439.187142857143,29030.299666666666,2018-01,5
2018-01-28,24100.75,30477.889999999996,29298.90066666667,2018-01,6
2018-01-29,30481.32,29526.987142857142,29880.18966666667,2018-01,0
2018-01-30,29588.85,28790.227142857137,30576.959,2018-01,1
2018-01-31,32721.59,28936.144285714287,31436.071666666667,2018-01,2
2018-02-01,30362.15,29040.105714285717,31604.31,2018-02,3
2018-02-02,27731.6,28145.334285714285,31465.805999999997,2018-02,4
2018-02-03,23448.66,28347.84571428571,31086.113333333335,2018-02,5
2018-02-04,23989.79,28331.994285714285,30961.76,2018-02,6
2018-02-05,37360.84,29314.782857142854,31286.799,2018-02,0
2018-02-06,34119.38,29962.00142857143,31443.011333333336,2018-02,1
2018-02-07,31306.23,29759.807142857142,31196.072333333334,2018-02,2
2018-02-08,27314.73,29324.461428571427,31098.266333333333,2018-02,3
2018-02-09,30743.07,29754.671428571426,30840.38433333333,2018-02,4
2018-02-10,21248.16,29440.314285714285,30213.424333333332,2018-02,5
2018-02-11,22504.98,29228.198571428573,29930.625666666663,2018-02,6
2018-02-12,23310.73,27221.04,29771.253,2018-02,0
2018-02-13,23638.34,25723.74857142857,29527.113333333335,2018-02,1
2018-02-14,37079.65,26548.522857142852,29485.425,2018-02,2
2018-02-15,32279.91,27257.834285714285,29086.849666666665,2018-02,3
2018-02-16,26894.99,26708.108571428573,28780.375333333333,2018-02,4
2018-02-17,24952.76,27237.33714285714,28686.308333333334,2018-02,5
2018-02-18,24592.43,27535.544285714288,28507.563333333335,2018-02,6
2018-02-19,28190.63,28232.67285714286,28701.195,2018-02,0
2018-02-20,36568.57,30079.84857142857,29125.819666666666,2018-02,1
2018-02-21,32401.69,29411.56857142857,28967.95466666667,2018-02,2
2018-02-22,32718.71,29474.254285714287,28900.372666666666,2018-02,3
2018-02-23,28424.7,29692.784285714286,28791.190333333332,2018-02,4
2018-02-24,24263.51,29594.320000000003,28612.159999999996,2018-02,5
2018-02-25,29203.77,30253.082857142854,28452.45233333333,2018-02,6
2018-02-26,43750.96,32475.987142857142,29176.44833333333,2018-02,0
2018-02-27,40267.2,33004.362857142856,29715.33,2018-02,1
2018-02-28,45510.57,34877.06,30216.304999999997,2018-02,2
2018-03-01,39651.51,35867.46,30551.727,2018-03,3
2018-03-02,31776.46,36346.282857142854,30520.222666666665,2018-03,4
2018-03-03,26394.97,36650.77714285714,30387.983333333334,2018-03,5
2018-03-04,32441.9,37113.36714285715,30544.993333333336,2018-03,6
2018-03-05,38323.07,36337.95428571429,31040.806999999997,2018-03,0
2018-03-06,39173.99,36181.78142857143,31546.947,2018-03,1
2018-03-07,36137.89,34842.827142857146,31506.181999999997,2018-03,2
2018-03-08,28156.39,33200.66714285714,31307.415666666664,2018-03,3
2018-03-09,28405.44,32719.09285714286,31210.722666666665,2018-03,4
2018-03-10,26203.91,32691.798571428568,31173.695333333333,2018-03,5
2018-03-11,31320.43,32531.588571428572,31192.94066666667,2018-03,6
2018-03-12,30644.66,31434.672857142858,31506.157333333333,2018-03,0
2018-03-13,36074.24,30991.851428571426,31958.466,2018-03,1
2018-03-14,23528.79,29190.55142857143,31965.734666666667,2018-03,2
2018-03-15,44311.46,31498.41857142857,32654.838666666663,2018-03,3
2018-03-16,32832.19,32130.81142857143,32513.256666666668,2018-03,4
2018-03-17,20078.5,31255.75285714286,32106.543,2018-03,5
2018-03-18,31119.33,31227.024285714284,32247.354333333333,2018-03,6
2018-03-19,44645.19,33227.1,32903.76866666667,2018-03,0
2018-03-20,35749.47,33180.70428571429,33275.67,2018-03,1
2018-03-21,39714.43,35492.938571428575,33659.79666666667,2018-03,2
2018-03-22,31119.41,33608.36,33478.158,2018-03,3
2018-03-23,29621.24,33149.65285714286,33385.47633333333,2018-03,4
2018-03-24,23787.77,33679.54857142857,33087.778333333335,2018-03,5
2018-03-25,25557.29,32884.97142857143,32992.198000000004,2018-03,6
2018-03-26,35779.01,31618.374285714286,33376.048,2018-03,0
2018-03-27,34732.56,31473.10142857143,33560.341,2018-03,1
2018-03-28,29713.34,30044.374285714286,33092.420333333335,2018-03,2
2018-03-29,28926.73,29731.134285714284,32714.404666666665,2018-03,3
2018-03-30,22088.14,28654.977142857144,31933.657000000003,2018-03,4
2018-03-31,25203.73,28857.257142857146,31452.064333333336,2018-03,5
2018-04-01,29396.66,29405.738571428574,31372.737666666668,2018-04,6
2018-04-02,40279.1,30048.608571428573,31835.542,2018-04,0
2018-04-03,36246.51,30264.88714285714,31962.362333333334,2018-04,1
2018-04-04,37982.73,31446.22857142857,31951.017666666667,2018-04,2
2018-04-05,36058.79,32465.094285714287,31847.17766666667,2018-04,3
2018-04-06,27784.74,33278.89428571429,31568.739333333335,2018-04,4
2018-04-07,25517.38,33323.70142857143,31480.772333333334,2018-04,5
2018-04-08,23463.85,32476.157142857144,31316.05266666667,2018-04,6
2018-04-09,49308.73,33766.10428571428,32086.213333333333,2018-04,0
2018-04-10,27870.56,32569.540000000005,31971.217666666667,2018-04,1
2018-04-11,40782.96,32969.572857142855,32309.161000000004,2018-04,2
2018-04-12,34117.58,32692.257142857143,32243.939000000002,2018-04,3
2018-04-13,31150.36,33173.060000000005,32497.99133333333,2018-04,4
2018-04-14,18845.7,32219.96285714286,31649.13266666667,2018-04,5
2018-04-15,30524.04,33228.561428571425,31572.194333333333,2018-04,6
2018-04-16,40412.26,31957.637142857147,32249.98633333333,2018-04,0
2018-04-17,36682.97,33216.55285714286,32435.441000000003,2018-04,1
2018-04-18,39472.71,33029.374285714286,32263.025,2018-04,2
2018-04-19,43287.21,34339.32142857143,32514.283,2018-04,3
2018-04-20,28353.84,33939.81857142857,32135.596666666668,2018-04,4
2018-04-21,18966.34,33957.05285714286,31730.494333333336,2018-04,5
2018-04-22,27350.9,33503.747142857144,31654.816333333336,2018-04,6
2018-04-23,37674.27,33112.60571428571,32117.699666666667,2018-04,0
2018-04-24,43083.77,34027.00571428571,32701.915666666664,2018-04,1
2018-04-25,40995.02,34244.478571428575,32875.782666666666,2018-04,2
2018-04-26,31631.36,32579.35714285714,32772.40933333334,2018-04,3
2018-04-27,40752.54,34350.6,33140.382666666665,2018-04,4
